2025-08-26 19:15:36 | ERROR | stderr | D:\work\中台\中台安全运营工具\LLM\venv\Lib\site-packages\pydantic\_internal\_fields.py:127: UserWarning: Field "model_name" has conflict with protected namespace "model_".
2025-08-26 19:15:36 | ERROR | stderr | 
2025-08-26 19:15:36 | ERROR | stderr | You may be able to resolve this warning by setting `model_config['protected_namespaces'] = ()`.
2025-08-26 19:15:36 | ERROR | stderr |   warnings.warn(
2025-08-26 19:27:08 | ERROR | stderr | Process controller:
2025-08-26 19:27:08 | ERROR | stderr | Traceback (most recent call last):
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\multiprocessing\process.py", line 314, in _bootstrap
2025-08-26 19:27:08 | ERROR | stderr |     self.run()
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\multiprocessing\process.py", line 108, in run
2025-08-26 19:27:08 | ERROR | stderr |     self._target(*self._args, **self._kwargs)
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\work\中台\中台安全运营工具\LLM\main\startup.py", line 299, in run_controller
2025-08-26 19:27:08 | ERROR | stderr |     @app.post("/release_worker")
2025-08-26 19:27:08 | ERROR | stderr |      ^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\fastapi\routing.py", line 956, in decorator
2025-08-26 19:27:08 | ERROR | stderr |     self.add_api_route(
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\fastapi\routing.py", line 895, in add_api_route
2025-08-26 19:27:08 | ERROR | stderr |     route = route_class(
2025-08-26 19:27:08 | ERROR | stderr |             ^^^^^^^^^^^^
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\fastapi\routing.py", line 531, in __init__
2025-08-26 19:27:08 | ERROR | stderr |     self.body_field = get_body_field(dependant=self.dependant, name=self.unique_id)
2025-08-26 19:27:08 | ERROR | stderr |                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\fastapi\dependencies\utils.py", line 784, in get_body_field
2025-08-26 19:27:08 | ERROR | stderr |     BodyModel = create_body_model(
2025-08-26 19:27:08 | ERROR | stderr |                 ^^^^^^^^^^^^^^^^^^
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\fastapi\_compat.py", line 277, in create_body_model
2025-08-26 19:27:08 | ERROR | stderr |     BodyModel: Type[BaseModel] = create_model(model_name, **field_params)  # type: ignore[call-overload]
2025-08-26 19:27:08 | ERROR | stderr |                                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\pydantic\main.py", line 1319, in create_model
2025-08-26 19:27:08 | ERROR | stderr |     return meta(__model_name, resolved_bases, namespace, __pydantic_reset_parent_namespace__=False, **kwds)
2025-08-26 19:27:08 | ERROR | stderr |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\pydantic\_internal\_model_construction.py", line 171, in __new__
2025-08-26 19:27:08 | ERROR | stderr |     set_model_fields(cls, bases, config_wrapper, types_namespace)
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\pydantic\_internal\_model_construction.py", line 361, in set_model_fields
2025-08-26 19:27:08 | ERROR | stderr |     fields, class_vars = collect_model_fields(cls, bases, config_wrapper, types_namespace, typevars_map=typevars_map)
2025-08-26 19:27:08 | ERROR | stderr |                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-08-26 19:27:08 | ERROR | stderr |   File "D:\software\work\py311\Lib\site-packages\pydantic\_internal\_fields.py", line 112, in collect_model_fields
2025-08-26 19:27:08 | ERROR | stderr |     raise NameError(f'Field "{ann_name}" has conflict with protected namespace "{protected_namespace}"')
2025-08-26 19:27:08 | ERROR | stderr | NameError: Field "model_name" has conflict with protected namespace "model_"
