2024-10-22 11:29:23 | INFO | model_worker | Loading the model ['测试模型1-14B'] on worker 55c31171 ...
2024-10-22 11:29:23 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                                                                  | 0/8 [00:00<?, ?it/s]
2024-10-22 11:29:23 | ERROR | stderr | Loading checkpoint shards:  12%|█████████████▎                                                                                            | 1/8 [00:00<00:02,  2.76it/s]
2024-10-22 11:29:31 | ERROR | stderr | Loading checkpoint shards:  25%|██████████████████████████▌                                                                               | 2/8 [00:08<00:29,  4.84s/it]
2024-10-22 11:30:15 | ERROR | stderr | Loading checkpoint shards:  38%|███████████████████████████████████████▊                                                                  | 3/8 [00:51<01:52, 22.48s/it]
2024-10-22 11:30:37 | ERROR | stderr | Loading checkpoint shards:  50%|█████████████████████████████████████████████████████                                                     | 4/8 [01:14<01:30, 22.54s/it]
2024-10-22 11:30:38 | ERROR | stderr | Loading checkpoint shards:  62%|██████████████████████████████████████████████████████████████████▎                                       | 5/8 [01:15<00:43, 14.63s/it]
2024-10-22 11:30:38 | ERROR | stderr | Loading checkpoint shards:  75%|███████████████████████████████████████████████████████████████████████████████▌                          | 6/8 [01:15<00:19,  9.83s/it]
2024-10-22 11:30:39 | ERROR | stderr | Loading checkpoint shards:  88%|████████████████████████████████████████████████████████████████████████████████████████████▊             | 7/8 [01:16<00:06,  6.77s/it]
2024-10-22 11:30:39 | ERROR | stderr | Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [01:16<00:00,  4.70s/it]
2024-10-22 11:30:39 | ERROR | stderr | Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [01:16<00:00,  9.54s/it]
2024-10-22 11:30:39 | ERROR | stderr | 
2024-10-22 11:30:40 | ERROR | stderr | Process model_worker - 测试模型1-14B:
2024-10-22 11:30:40 | ERROR | stderr | Traceback (most recent call last):
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/anaconda3/envs/security/lib/python3.11/site-packages/torch/cuda/__init__.py", line 311, in _lazy_init
2024-10-22 11:30:40 | ERROR | stderr |     queued_call()
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/anaconda3/envs/security/lib/python3.11/site-packages/torch/cuda/__init__.py", line 180, in _check_capability
2024-10-22 11:30:40 | ERROR | stderr |     capability = get_device_capability(d)
2024-10-22 11:30:40 | ERROR | stderr |                  ^^^^^^^^^^^^^^^^^^^^^^^^
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/anaconda3/envs/security/lib/python3.11/site-packages/torch/cuda/__init__.py", line 435, in get_device_capability
2024-10-22 11:30:40 | ERROR | stderr |     prop = get_device_properties(device)
2024-10-22 11:30:40 | ERROR | stderr |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/anaconda3/envs/security/lib/python3.11/site-packages/torch/cuda/__init__.py", line 453, in get_device_properties
2024-10-22 11:30:40 | ERROR | stderr |     return _get_device_properties(device)  # type: ignore[name-defined]
2024-10-22 11:30:40 | ERROR | stderr |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2024-10-22 11:30:40 | ERROR | stderr | RuntimeError: device >= 0 && device < num_gpus INTERNAL ASSERT FAILED at "../aten/src/ATen/cuda/CUDAContext.cpp":50, please report a bug to PyTorch. device=1, num_gpus=
2024-10-22 11:30:40 | ERROR | stderr | 
2024-10-22 11:30:40 | ERROR | stderr | The above exception was the direct cause of the following exception:
2024-10-22 11:30:40 | ERROR | stderr | 
2024-10-22 11:30:40 | ERROR | stderr | Traceback (most recent call last):
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/anaconda3/envs/security/lib/python3.11/multiprocessing/process.py", line 314, in _bootstrap
2024-10-22 11:30:40 | ERROR | stderr |     self.run()
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/anaconda3/envs/security/lib/python3.11/multiprocessing/process.py", line 108, in run
2024-10-22 11:30:40 | ERROR | stderr |     self._target(*self._args, **self._kwargs)
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/LLM/startup.py", line 389, in run_model_worker
2024-10-22 11:30:40 | ERROR | stderr |     app = create_model_worker_app(log_level=log_level, **kwargs)
2024-10-22 11:30:40 | ERROR | stderr |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2024-10-22 11:30:40 | ERROR | stderr |   File "/home/ding/LLM/startup.py", line 217, in create_model_worker_app
2024-10-22 11:30:40 | ERROR | stderr |     worker = ModelWorker(
2024-10-22 11:30:40 | ERROR | stderr |              ^^^^^^^^^^^^
